parliamentary_constituency,locality,ambiguous_assemblies,assembly_count,status,curated_assembly,suggested_action,notes
Aligarh,Prathamik Vidyalay Bahadurpur,Barauli | Iglas,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Aligarh,Prathamik Vidyalay Kanaura,Barauli | Iglas,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Aligarh,Prathamik Vidyalay Sikandarpur,Atrauli | Iglas,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Aligarh,Prathamik Vidyalay Surajpur,Atrauli | Barauli,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
