"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"VENKATESWARA ELECTRICAL INDUSTRIES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Education, Differently Abled, Livelihood",Education,0.0601
"NSEIT LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Environment, Animal Welfare, Conservation Of Resources","Environmental sustainability",0.0022442
"GMM PFAUDLER LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Environment, Animal Welfare, Conservation Of Resources","Environmental sustainability",0.15
"NSEIT LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities","Senior Citizens Welfare",0.0000578
"NSEIT LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities","Senior Citizens Welfare",0.0000006
"KRC INFRASTRUCTURE AND PROJECTS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities","Gender equality",0.05
"HDFC BANK LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation","Health care",0.699801
"CASTLE SHIPS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation","Health care",0.1687794
"TCI EXPRESS LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Rural Development","Rural development projects",0
"VASISHTA CONSTRUCTIONS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Rural Development","Rural development projects",0.706001803
"BRENNTAG INGREDIENTS (INDIA) PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Rural Development","Rural development projects",0.01
"AJANTA PHARMA LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.3
"ITC LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",32.51869323
"ITC LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",2.016047047
"ITC LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,45.90741466
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.008
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.02
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.002883
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.01
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.012
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.005
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0005
"EMUDHRA CONSUMER SERVICES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.025
"SREE PADMAVATHI VENKATESWARA FOUNDATION","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.1
"NAVABHARAT LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.03
"WORLDWIDE DIAMOND AND JEWELLERY MANUFACTURERS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0838969
"WORLDWIDE DIAMOND AND JEWELLERY MANUFACTURERS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.063425
"WORLDWIDE DIAMOND AND JEWELLERY MANUFACTURERS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.07965
"PRIDHVI ASSET RECONSTRUCTION AND SECURITISATION COMPANY LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",0.1626086
"PRIDHVI ASSET RECONSTRUCTION AND SECURITISATION COMPANY LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0672
"PRIDHVI ASSET RECONSTRUCTION AND SECURITISATION COMPANY LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.04
"FABEX STEEL STRUCTURES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0325
"GOLKONDA HOTELS AND RESORTS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.036324
"COASTAL LOCAL AREA BANK LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0857
"SMS LIFESCIENCES INDIA LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0146
"ROYALE MARINE IMP-EX PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.026
"CAN FIN HOMES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.01534
"CAN FIN HOMES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0553068
"LUCKY WEAVESS INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.1000001
"R.L.FINE CHEM PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.8576349
"LTIMINDTREE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.15865
"VICTORIAS SECRET INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.08
"AMRUTANJAN HEALTH CARE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0456
"GBR HATCHERIES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.06
"GBR HATCHERIES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.05
"GBR HATCHERIES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.03
"LUCKYYARN TEX INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.1
"ECLERX SERVICES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.2
"NELCAST LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",0.001024
"NELCAST LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.003
"NELCAST LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.025
"NILE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.05
"INDIA METAL ONE STEEL PLATE PROCESSING PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0931492
"INDIA METAL ONE STEEL PLATE PROCESSING PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0009913
"KANAKADURGA FINANCE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0343749
"MY HOME CONSTRUCTIONS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,2.5
"GH REDDY AND ASSOCIATES (CONSTRUCTION) PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.02
"JOCIL LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0994889
"JOCIL LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.105
"FOODS AND INNS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.003
"VIMTA LABS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.04
"VIMTA LABS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.03
"CYBERTECH SYSTEMS AND SOFTWARE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0325
"SIFY INFINIT SPACES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",2.015
"CEREMORPHIC TECHNOLOGIES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.025
"PRICOL LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0199847
"THE ANDHRA PETROCHEMICALS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.9
"HIL LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.02
"GEOMETRIC RESULTS INTERNATIONAL INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.115
"HERO MOTOCORP LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.025608975
"HERO MOTOCORP LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.6529687
"MEENAKSHI INDIA LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.11
"MEENAKSHI INDIA LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.126
"TYCHE CAST TECH PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0816608
"TYCHE CAST TECH PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0109032
"TYCHE CAST TECH PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.03245
"EQIC DIES AND MOULDS ENGINEERS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.1000116
"SCHLUMBERGER SOLUTIONS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",0.279
"MARUTI ISPAT AND PIPES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0016
"MY HOME INDUSTRIES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.1173
"SREE JAYAJOTHI CEMENTS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.3077
"IKF FINANCE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.2214
"INSECTICIDES (INDIA) LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.05
"ASTRA MICROWAVE PRODUCTS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.05
"AMARA RAJA INFRA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.383513234
"AMARA RAJA ENERGY & MOBILITY LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",1.6026484
"AMARA RAJA ENERGY & MOBILITY LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,6.1814511
"AMARA RAJA ENERGY & MOBILITY LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.3475372
"ISUZU ENGINEERING BUSINESS CENTRE INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",0.0527794
"ISUZU ENGINEERING BUSINESS CENTRE INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0096588
"EUGIA PHARMA SPECIALITIES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.2438397
"EUGIA PHARMA SPECIALITIES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.2483945
"LARSEN AND TOUBRO LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Special education",1.2310451
"AIL DIXON TECHNOLOGIES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0185
"SAHYADRI INDUSTRIES LIMITED.","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0085885
"SAHYADRI INDUSTRIES LIMITED.","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0073912
"FISSION COMPUTER LABS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.05
"PANASONIC CARBON INDIA CO. LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.02111
"PANASONIC CARBON INDIA CO. LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0082375
"PANASONIC CARBON INDIA CO. LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0807141
"PANASONIC CARBON INDIA CO. LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.055755
"PANASONIC CARBON INDIA CO. LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0346621
"PANASONIC CARBON INDIA CO. LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0795603
"VIJAY GARMENTS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.03
"VIJAY GARMENTS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.015
"SANKHLA VINYL PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.11
"ION EXCHANGE (INDIA) LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.088
"SAGAR CEMENTS LTD","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,1.3023464
"VRV ASIA PACIFIC PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.15
"NEKKANTI SEA FOODS LTD.","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0084
"NEKKANTI SEA FOODS LTD.","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.001645
"MOLD-TEK TECHNOLOGIES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Special education",0.25
"NETENRICH TECHNOLOGIES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Special education",0.0026
"LEADSOC TECHNOLOGIES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.08
"TRANSMEDIA DIGICOMM PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.001
"AVEVA INFORMATION TECHNOLOGY INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0124
"STATESTREET CORPORATE SERVICES DELHI PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",0.25
"AVANTI FEEDS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0076
"AVANTI FEEDS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.25
"AVANTI FEEDS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.8693332
"SARDA METALS & ALLOYS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.3834277
"SARDA METALS & ALLOYS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.07
"SARDA METALS & ALLOYS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0193261
"DELHI INTERNATIONAL AIRPORT LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,1.8598
"DELHI INTERNATIONAL AIRPORT LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0425
"UTILITY POWERTECH LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",0.024445
"UTILITY POWERTECH LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.018255
"AUROBINDO PHARMA LTD","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.2
"AUROBINDO PHARMA LTD","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,1.224
"AUROBINDO PHARMA LTD","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",0.075
"AUROBINDO PHARMA LTD","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",0.6848258
"AUROBINDO PHARMA LTD","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",0.076
"MALLADI DRUGS AND PHARMACEUTICALS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.39669
"MALLADI DRUGS AND PHARMACEUTICALS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.17441
"SUNDARAM AUTO COMPONENTS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.09
"SPENCER INTERNATIONAL HOTELS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.155898
"ADANI LOGISTICS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.3197
"BERGEN PIPE SUPPORTS (INDIA) PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0977
"RE SUSTAINABILITY HEALTHCARE SOLUTIONS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.069064
"SHANTI SAGAR INTERNATIONAL DREDGING LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.4411
"SHANTI SAGAR INTERNATIONAL DREDGING LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",1.09
"GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.7548
"GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",0.97
"MAXZONE CLOTHING PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.135
"TESSOLVE SEMICONDUCTOR PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.04
"BOFA SECURITIES INDIA LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",2.5
"MAHADHAN AGRITECH LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.025599
"MAHADHAN AGRITECH LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",0.070265
"MAHADHAN AGRITECH LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.0046
"A.C.N. CABLE PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.5216484
"SIFY TECHNOLOGIES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.77
"DELHI DUTY FREE SERVICES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.24
"PRICEWATERHOUSECOOPERS SERVICE DELIVERY CENTER (BANGALORE) PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.67368
"INVITROGEN BIOSERVICES INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,1.1305027
"PARRY SUGARS REFINERY INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0
"FISHER BIOPHARMA SERVICES (INDIA) PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.386207249
"AVRORA (INDIA) MARINE SYSTEMS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Special education",0.052038
"EMPRADA MINES AND MINERALS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.099634
"HYUNDAI TRANSYS INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.123
"HYUNDAI TRANSYS INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.3436647
"HYUNDAI TRANSYS INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,1
"SRICHAITANYA STUDENTS FACILITY MANAGEMENT PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.7
"ADANI ELECTRICITY MUMBAI LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",1.84
"YUKEN INDIA LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.00985
"YUKEN INDIA LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.006765
"MANGAL INDUSTRIES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.3084847
"MANGAL INDUSTRIES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.6660868
"MANGAL INDUSTRIES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.1411575
"MANGAL INDUSTRIES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.112926
"MANGAL INDUSTRIES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.1158524
"MANGAL INDUSTRIES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.24324
"HP INDIA SALES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.4897763
"GEMINI EDIBLES & FATS INDIA LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.29
"GEMINI EDIBLES & FATS INDIA LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.01
"GEMINI EDIBLES & FATS INDIA LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.00816
"NISUM CONSULTING PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.013
"AVANTI FROZEN FOODS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.015548
"ANDHRA PRADESH GRANITE (MIDWEST) PRIVATE  LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.190429
"SRI SARVARAYA SUGARS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0123652
"SRI SARVARAYA SUGARS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0066797
"SRI SARVARAYA SUGARS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.00225
"SRI SARVARAYA SUGARS LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0024728
