Scheme Name,Ministry,Objective
Jal Jeevan Mission (JJM),Ministry of Jal Shakti,Tap water for all,Infrastructure
Namami Gange,Ministry of Jal Shakti,Clean Ganga,Sanitation
Swachh Bharat Mission (Gramin),Ministry of Jal Shakti,Sanitation,Hygiene
